step,action0,action1,action2,action3,action4,action5,action6,action7,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,state26,
15,-0.0174051,-0.230368,-0.382191,-0.247131,-0.136238,0,0.156042,0.0157284,0.552634,0.951848,-0.0182053,-0.0419445,0.303142,0.326381,0.517577,-0.524184,-0.7491,0.332273,-0.557138,0.527008,1.21775,-0.325962,-0.911332,-0.582778,0.897774,-1.25219,0.0263653,-4.01828,0.190791,-0.000251216,0.753929,6.63459,1.78375,-0.237099,-0.16761,
16,-0.0169741,-0.386601,-0.0127182,-0.116554,-0.116245,0,0.0126156,0.00295013,0.517592,0.94746,0.0135096,-0.06295,0.313327,0.0606803,0.522125,-0.524202,-0.712138,0.577633,-0.512391,0.51207,1.16851,-0.073089,-0.834108,-0.834905,1.29402,-1.20277,1.07194,-6.59103,0.0308472,-0.00109171,0.739194,-0.258778,-0.200789,-0.370657,-1.80252,
17,0.0193459,-0.359434,0.03713,-0.0952233,-0.0513115,0,-0.162154,-0.0128172,0.466026,0.936098,0.0517784,-0.0764704,0.339399,-0.263195,0.523022,-0.524128,-0.675967,0.532927,-0.523281,0.490819,1.00975,-0.103908,-0.317765,-0.774628,0.20765,-0.116766,0.909659,-6.36555,0.00504864,-0.00184778,0.72342,-0.845836,-0.182993,-0.478537,-4.52198,
18,0.0483815,-0.322284,0.106866,-0.028345,0.0662861,0,-0.309657,-0.0268342,0.459718,0.932275,0.0407407,-0.0698211,0.352602,-0.551013,0.523133,-0.524049,-0.636333,0.473375,-0.529824,0.470802,0.724109,0.726691,0.487283,0.00380553,-0.519735,0.76307,0.35257,-2.25173,-8.80295e-06,0.00530662,0.82711,-1.62556,-0.127384,-0.314876,-6.89275,
19,0.0344276,-0.235425,0.223272,0.0593214,0.16646,0,-0.302309,-0.026119,0.454385,0.931279,0.0201526,-0.0568442,0.35928,-0.536093,0.523354,-0.511805,-0.594124,0.339847,-0.540235,0.464256,0.456959,0.98486,0.529304,-0.174667,-0.21195,0.401288,0.263781,1.03053,0.00322362,0.481549,0.877052,-3.73333,-0.294088,0.0455174,0.422602,
20,0.0562075,-0.0741388,0.325008,0.120908,0.111162,0,-0.257227,-0.0221587,0.442039,0.928977,0.00969923,-0.0462677,0.367107,-0.445362,0.534421,-0.45968,-0.54956,0.105208,-0.558179,0.472619,0.505691,1.48202,0.749532,-0.126831,-0.535102,1.07665,0.660632,2.58391,0.431651,1.53844,0.929967,-5.56516,-0.390934,0.281329,0.623192,
21,0.0584616,0.149062,0.40117,0.183478,0.0383991,0,-0.162594,-0.0139884,0.424317,0.925533,-0.00915705,-0.0248979,0.377736,-0.260108,0.577594,-0.36457,-0.516962,-0.212727,-0.581047,0.496857,0.522573,1.6438,0.736825,-0.55766,0.105887,1.17461,0.203596,4.80888,1.2895,2.25269,-0.0271376,-7.13504,-0.520471,0.685489,0.0786055,
22,0.00335364,0.37656,0.166934,0.105004,-0.0571687,0,-0.00604695,0.00226657,0.429641,0.929882,-0.00671019,-0.0181866,0.367347,0.036615,0.664802,-0.246536,-0.522064,-0.560986,-0.600936,0.530433,0.555165,2.73477,0.353921,1.20919,0.494958,-0.425137,-1.59856,6.95614,2.11311,2.48345,-0.100058,-2.7928,-0.194075,0.0413584,1.21633,
23,-0.00804537,0.366569,-0.0352086,0.0187826,-0.185699,0,0.188316,0.0298091,0.478831,0.94681,0.0139619,-0.0262348,0.320419,0.406876,0.787037,-0.134879,-0.527013,-0.544568,-0.609843,0.525312,0.683396,2.60971,0.480995,0.769718,0.641895,-0.759543,-2.05569,7.84185,2.76816,1.97441,-0.0950876,0.906533,-0.162345,-0.115009,3.89287,
24,0.0221314,0.318488,-0.107444,-0.120462,-0.324632,0,0.27521,0.0504185,0.507305,0.958324,0.0307571,-0.0297882,0.282455,0.585741,0.925195,-0.0730067,-0.531897,-0.467384,-0.611519,0.517427,0.940061,2.24815,0.429529,0.356556,0.411178,0.107842,-1.11847,-1.31017,2.76076,0.510409,-0.100556,2.16916,0.0919974,-0.199101,6.35293,
25,-0.0287025,0.22211,-0.173038,-0.169612,-0.423397,0,0.228411,0.048484,0.552522,0.963737,0.0207457,-0.0723417,0.256022,0.501969,1.03811,-0.10606,-0.535819,-0.319945,-0.592182,0.516717,1.27477,1.80017,1.0927,1.12427,-1.65027,-1.3656,-1.42688,-2.02431,1.75685,-1.8089,-0.0784313,3.74598,0.64859,0.138264,2.70461,
26,-0.0144301,0.0675189,-0.252931,-0.221734,-0.31486,0,0.157909,0.0377457,0.591665,0.969474,-0.00769021,-0.106706,0.220624,0.371186,1.0926,-0.271263,-0.539691,-0.0957843,-0.551928,0.518096,1.24851,1.57843,1.03974,0.468101,-1.52995,-0.956776,-1.14564,-3.1953,0.434233,-4.77491,-0.0723108,5.20542,0.961658,-0.0820538,-0.867199,
