step,action0,action1,action2,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,
37,0.0108328,0.0642597,0.432522,1.27955,-0.0199335,-0.0187964,-0.434481,0.378685,0.607634,-0.851096,0.456991,0.279131,-0.943209,-1.07823,
38,0.00954194,0.0657343,0.467199,1.27237,-0.0160821,-0.0165564,-0.44173,0.37258,0.622507,-0.943532,0.505982,0.28086,-0.869217,-0.448635,
39,0.00824887,0.0674145,0.499196,1.26445,-0.0118387,-0.0143126,-0.448387,0.371695,0.637963,-1.03712,0.554907,0.280083,-0.795133,0.226658,
40,0.00696494,0.0694694,0.529082,1.25577,-0.00720512,-0.0120847,-0.454449,0.376379,0.653892,-1.13175,0.603493,0.276898,-0.720396,0.943378,
41,0.005701,0.0720655,0.557536,1.24634,-0.00218489,-0.00989162,-0.459907,0.386948,0.670199,-1.22733,0.651472,0.271412,-0.644223,1.69809,
42,0.00446744,0.0753643,0.585293,1.23613,0.0032161,-0.00775125,-0.464747,0.403698,0.686803,-1.32377,0.698589,0.263736,-0.565618,2.48837,
43,0.00327408,0.0795221,0.613086,1.22515,0.00899001,-0.00568069,-0.468943,0.426907,0.703642,-1.42096,0.744588,0.253985,-0.483396,3.31283,
44,0.00213024,0.0846919,0.641598,1.21339,0.0151269,-0.00369607,-0.472462,0.456847,0.720674,-1.51877,0.789209,0.242277,-0.396192,4.17119,
45,0.00104469,0.0910237,0.671387,1.20085,0.0216147,-0.00181257,-0.475257,0.493793,0.737877,-1.61702,0.832166,0.228731,-0.302479,5.06414,
46,2.56129e-05,0.0986625,0.702819,1.18752,0.0284388,-4.44394e-05,-0.47727,0.538027,0.755258,-1.71547,0.873139,0.213466,-0.200579,5.99321,
47,-0.000660277,0.175108,0.68749,1.1734,0.0352197,0.00114561,-0.478392,0.589849,0.767825,-1.8145,0.825598,0.0897266,-0.0803333,6.96107,
48,-0.000872238,0.126376,0.595229,1.15859,0.0419531,0.00151337,-0.478344,0.649092,0.871901,-1.80317,0.873389,-0.0284051,-0.0949446,7.65863,
49,-0.000182024,-0.0621111,-0.367423,1.1457,0.0490268,0.000315818,-0.482491,0.709467,1.22094,-1.42975,0.878848,-0.260903,-0.905796,7.47064,
50,0.00131441,-0.070094,-0.847217,1.13549,0.055377,-0.00228055,-0.492713,0.764082,1.42749,-1.13815,0.705134,-0.38001,-1.61506,6.22054,
51,0.00317214,-0.0071269,-0.928732,1.12727,0.0602004,-0.00550381,-0.507329,0.804271,1.50743,-0.93025,0.493809,-0.406334,-1.95658,3.38693,
52,0.00504204,0.0538446,-0.944897,1.12035,0.0635138,-0.00874825,-0.523396,0.821036,1.54247,-0.815869,0.343394,-0.40501,-2.05654,1.05848,
53,0.00691269,0.0844034,-0.945661,1.11404,0.065957,-0.0119941,-0.539808,0.823518,1.57106,-0.770521,0.274086,-0.403917,-2.0321,-0.416851,
54,0.00875213,0.0917715,-0.932019,1.10789,0.0680836,-0.0151859,-0.555567,0.814563,1.58085,-0.773714,0.263924,-0.39238,-1.89747,-1.8102,
55,0.0105259,0.0785663,-0.908715,1.10159,0.0703024,-0.0182638,-0.570078,0.794713,1.58475,-0.804708,0.296652,-0.377759,-1.73029,-3.15087,
56,0.0122304,0.0540113,-0.881232,1.09497,0.0728914,-0.0212217,-0.583323,0.764315,1.58771,-0.851244,0.352669,-0.361899,-1.58088,-4.44676,
57,0.0138494,0.0407135,-0.853573,1.08796,0.0758903,-0.0240316,-0.595508,0.723751,1.58736,-0.900761,0.395615,-0.340408,-1.46531,-5.69272,
58,0.0153081,-0.215793,-0.747464,1.08196,0.0793677,-0.0265632,-0.606278,0.678169,1.57612,-0.514247,0.487278,-0.287892,-1.19442,-5.40868,
59,0.0164385,-0.385748,-0.744844,1.07956,0.0831903,-0.0285253,-0.616061,0.637527,1.53665,-0.0960355,0.46771,-0.203924,-1.25716,-4.79004,
60,0.0171432,-0.447922,-0.830122,1.08022,0.086472,-0.0297485,-0.627362,0.600996,1.47843,0.250365,0.350018,-0.102659,-1.57245,-4.37852,
61,0.0173653,-0.454224,-0.90602,1.08344,0.0885997,-0.030134,-0.641576,0.566556,1.41183,0.547793,0.177998,0.00594774,-1.98386,-4.26138,
62,0.017084,-0.424723,-0.950535,1.08889,0.0892282,-0.0296457,-0.659151,0.53202,1.34217,0.807141,-0.0254795,0.116105,-2.41171,-4.39706,
63,0.0163018,-0.369185,-0.972717,1.09628,0.0881675,-0.0282881,-0.680019,0.495632,1.27298,1.03442,-0.244698,0.223537,-2.80609,-4.71976,
64,0.0150389,-0.294947,-0.98306,1.10538,0.0853395,-0.0260961,-0.703765,0.456098,1.20683,1.23453,-0.467518,0.324887,-3.13094,-5.17962,
65,0.013329,-0.209215,-0.987543,1.11598,0.0807512,-0.0231285,-0.729731,0.412456,1.14564,1.41204,-0.684764,0.417566,-3.36044,-5.74371,
66,0.0112162,-0.118866,-0.988814,1.12793,0.0744715,-0.0194617,-0.75709,0.363964,1.0906,1.5709,-0.890266,0.499761,-3.47889,-6.38982,
67,0.00875096,-0.0294575,-0.987582,1.14108,0.0666071,-0.0151838,-0.784928,0.310032,1.0422,1.71419,-1.08063,0.570406,-3.48021,-7.10208,
68,0.00598756,0.0552969,-0.983005,1.15533,0.0572843,-0.0103888,-0.812315,0.25018,1.00032,1.84393,-1.25447,0.629051,-3.36591,-7.8684,
69,0.00298138,0.133287,-0.971701,1.17056,0.0466368,-0.00517284,-0.838351,0.184019,0.964439,1.96092,-1.41123,0.675641,-3.14254,-8.67851,
70,-0.000212194,0.21858,-0.946262,1.18667,0.0348041,0.000368164,-0.862202,0.111247,0.932569,2.06421,-1.57005,0.685842,-2.81697,-9.52036,
71,-0.0023239,0.5124,-0.940051,1.20353,0.0202483,0.00403207,-0.882827,0.0317233,0.885334,2.14739,-2.03705,0.272125,-2.34278,-10,
72,-0.00302026,0.563858,-0.816235,1.22109,0.00336525,0.0052403,-0.898324,-0.0548338,0.893995,2.24091,-2.16385,0.0547795,-1.53468,-10,
73,-0.00300089,0.539121,-0.378056,1.23931,-0.0138978,0.00520668,-0.907227,-0.148287,0.920105,2.3103,-2.13882,-0.0492758,-0.693367,-10,
74,-0.00265155,0.460538,0.316946,1.25781,-0.0304187,0.00460056,-0.909733,-0.246392,0.964527,2.30984,-1.98481,-0.0997878,0.0651899,-10,
75,-0.00204675,0.348051,0.705135,1.27602,-0.045387,0.00355119,-0.906853,-0.343854,1.02866,2.24456,-1.75589,-0.162794,0.653329,-10,
76,-0.00115402,0.235771,0.847481,1.29363,-0.0585366,0.00200227,-0.900017,-0.434939,1.09379,2.15934,-1.53225,-0.224089,1.05594,-10,
77,-2.21436e-05,0.161744,0.905109,1.31052,-0.0701192,3.842e-05,-0.890505,-0.516515,1.14123,2.06431,-1.36268,-0.267168,1.32036,-9.54613,
78,0.00128752,0.108047,0.930187,1.32664,-0.0804521,-0.0022339,-0.879294,-0.587343,1.18171,1.96454,-1.22022,-0.301144,1.48114,-8.16207,
79,0.00273651,0.0704834,0.941742,1.34194,-0.0897297,-0.00474797,-0.867099,-0.646971,1.21705,1.8627,-1.09917,-0.327546,1.5667,-6.74639,
80,0.00429308,0.0445565,0.946854,1.35643,-0.0981016,-0.00744873,-0.854431,-0.695232,1.24884,1.76031,-0.993941,-0.347762,1.59933,-5.32036,
81,0.00593099,0.0266554,0.948472,1.3701,-0.105677,-0.0102907,-0.841651,-0.732086,1.27819,1.65817,-0.900116,-0.362793,1.59529,-3.89456,
82,0.00762776,0.0141811,0.947978,1.38296,-0.112534,-0.0132348,-0.829004,-0.757557,1.30579,1.55653,-0.814398,-0.373276,1.56615,-2.47497,
83,0.00936326,0.0053678,0.946107,1.39501,-0.118728,-0.0162463,-0.816659,-0.771712,1.33205,1.4553,-0.734403,-0.379583,1.52006,-1.06536,
84,0.0111186,-0.000924726,0.943316,1.40624,-0.124298,-0.0192925,-0.804727,-0.774639,1.35712,1.35414,-0.658437,-0.381906,1.46287,0.331748,
85,0.0128757,-0.00537878,0.93995,1.41667,-0.129272,-0.0223417,-0.793281,-0.766447,1.38108,1.2526,-0.585323,-0.380326,1.39891,1.71459,
86,0.0146165,-0.00833995,0.936324,1.42628,-0.133669,-0.025363,-0.782361,-0.747253,1.40389,1.15016,-0.514282,-0.374859,1.33157,3.08197,
87,0.0163231,-0.00990244,0.932772,1.43507,-0.137504,-0.0283251,-0.771982,-0.717185,1.42548,1.04629,-0.444857,-0.365497,1.26374,4.43315,
88,0.0179776,-0.00996916,0.929678,1.44302,-0.140789,-0.0311968,-0.762138,-0.676374,1.44576,0.940485,-0.376854,-0.35223,1.19813,5.76789,
89,0.0195618,-0.00829501,0.927488,1.45011,-0.143535,-0.033947,-0.752799,-0.624948,1.46464,0.832339,-0.310319,-0.335073,1.13748,7.08647,
90,0.0210582,-0.00451888,0.926691,1.45633,-0.145755,-0.0365449,-0.743915,-0.563035,1.48206,0.721551,-0.245512,-0.314076,1.08478,8.38979,
